Número de factura,Estado de factura,Tipo de factura,CUPS,Fecha desde,Fecha hasta,Fecha emisión,Fecha inicio energia,Fecha fin energia,Fecha inicio potencia,Fecha fin potencia,Base imponible (€),Dirección,Municipio,Provincia,Nombre suministro,Código suministro,Razón social,CIF,Tarifa de acceso,Comercializadora,Remesa,Tipo de lectura,Número de contador,Lectura inicio consumo activa P1 (kWh),Lectura fin consumo activa P1 (kWh),Consumo activa P1 (kWh),Lectura inicio consumo activa P2 (kWh),Lectura fin consumo activa P2 (kWh),Consumo activa P2 (kWh),Lectura inicio consumo activa P3 (kWh),Lectura fin consumo activa P3 (kWh),Consumo activa P3 (kWh),Lectura inicio consumo activa P4 (kWh),Lectura fin consumo activa P4 (kWh),Consumo activa P4 (kWh),Lectura inicio consumo activa P5 (kWh),Lectura fin consumo activa P5 (kWh),Consumo activa P5 (kWh),Lectura inicio consumo activa P6 (kWh),Lectura fin consumo activa P6 (kWh),Consumo activa P6 (kWh),Consumo activa total (kWh),Lectura inicio consumo reactiva inductiva P1 (kVArh),Lectura fin consumo reactiva inductiva P1 (kVArh),Consumo reactiva inductiva P1 (kVarh),Lectura inicio consumo reactiva inductiva P2 (kVArh),Lectura fin consumo reactiva inductiva P2 (kVArh),Consumo reactiva inductiva P2 (kVarh),Lectura inicio consumo reactiva inductiva P3 (kVArh),Lectura fin consumo reactiva inductiva P3 (kVArh),Consumo reactiva inductiva P3 (kVarh),Lectura inicio consumo reactiva inductiva P4 (kVArh),Lectura fin consumo reactiva inductiva P4 (kVArh),Consumo reactiva inductiva P4 (kVarh),Lectura inicio consumo reactiva inductiva P5 (kVArh),Lectura fin consumo reactiva inductiva P5 (kVArh),Consumo reactiva inductiva P5 (kVarh),Lectura inicio consumo reactiva inductiva P6 (kVArh),Lectura fin consumo reactiva inductiva P6 (kVArh),Consumo reactiva inductiva P6 (kVarh),Consumo reactiva inductiva total (kVarh),Lectura fin maxímetro P1 (kW),Maxímetro P1 (kW),Lectura fin maxímetro P2 (kW),Maxímetro P2 (kW),Lectura fin maxímetro P3 (kW),Maxímetro P3 (kW),Lectura fin maxímetro P4 (kW),Maxímetro P4 (kW),Lectura fin maxímetro P5 (kW),Maxímetro P5 (kW),Lectura fin maxímetro P6 (kW),Maxímetro P6 (kW),Maxímetro total (kW),Potencia contratada P1 (kW),Potencia contratada P2 (kW),Potencia contratada P3 (kW),Potencia contratada P4 (kW),Potencia contratada P5 (kW),Potencia contratada P6 (kW),Importe TE (€),Importe TP (€),Importe TR (€),Importe IE,Importe alquiler (€),Importe impuestos (€),Importe otros conceptos (€),Importe otros conceptos sin IE (€),Cuenta bancaria,Factura rectificada,Importe total (€),Importe excesos P1,Importe excesos P2,Importe excesos P3,Importe excesos P4,Importe excesos P5,Importe excesos P6,Importe excesos de potencia,Nombre del fichero,Importe TE P1(€),Importe TE P2(€),Importe TE P3(€),Importe TE P4(€),Importe TE P5(€),Importe TE P6(€),Importe TP P1(€),Importe TP P2(€),Importe TP P3(€),Importe TP P4(€),Importe TP P5(€),Importe TP P6(€),Consumo vertido (kWh),Precio vertido (€/kWh),Importe TE vertido (€),Ajuste gas,Ignorar restricciones,Estado pago,Tensión lectura,Importe otros conceptos sin impuestos (€)
N25CON003232784,ACTIVA,NORMAL,ES0031607030989001EM,31/05/2025,30/06/2025,17/07/2025,,,,,"1,609.18","Avda. Juan XXIII, 8","Palmas de Gran Canaria, Las","Palmas, Las",LAS PALMAS,3501 - Las Palmas ,ASEPEYO,G08215824,3.0TD,ENDESA,,ESTIMADA,502300479,0,0,0.00,1081,1081,0.00,0,0,0.00,7691,10630,"2,939.00",4430,6309,"1,879.00",11354,13545,"2,191.00","7,009.00",0,0,0.00,0,0,0.00,0,0,0.00,785,785,0.00,610,610,0.00,1695,1695,0.00,0.00,0,0.00,0,0.00,0,0.00,15,15.55,12,12.78,5,5.71,15.55,52.00,52.00,52.00,52.00,52.00,136.00,"1,315.92",186.90,0.00,76.83,29.53,49.46,0.00,0.00,,,"1,658.64",,,,,,,0.00,19044677,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25CON032783518,ACTIVA,NORMAL,ES0022000008443501JG,31/05/2025,30/06/2025,12/07/2025,,,,,"2,142.72","Avda. de Madrid, 28",Arganda del Rey,Madrid,ARGANDA DEL REY,2817 - Arganda Del Rey ,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,45738709,94793,94793,0.00,133275,133275,0.00,88209,92000,"3,791.00",61984,64355,"2,371.00",32842,32842,0.00,146608,149893,"3,285.00","9,447.00",5331,5331,0.00,7461,7461,0.00,6961,7157,196.00,4468,4582,114.00,1827,1827,0.00,6809,6969,160.00,470.00,0,0.00,0,0.00,41,41.34,37,37.89,0,0.00,26,26.47,41.34,49.00,82.50,82.50,82.50,82.50,82.50,"1,808.40",227.53,0.00,104.09,2.70,449.97,0.00,0.00,,,"2,592.69",,,,,,,0.00,19068875,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25CON031775738,ACTIVA,NORMAL,ES0031408536780001AM,31/05/2025,30/06/2025,07/07/2025,,,,,"1,462.09","Salvador Seguí, nº 10",Molins de Rei,Barcelona,MOLINS DE REI,0821 - Molins De Rei ,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,58519208,96288,96288,0.00,213375,213375,0.00,98456,101383,"2,927.00",51838,53621,"1,783.00",42424,42424,0.00,148807,150205,"1,398.00","6,108.00",739,739,0.00,1455,1455,0.00,2151,2270,75.00,667,763,44.00,782,782,0.00,4534,4605,0.00,119.00,0,0.00,0,0.00,32,32.00,32,32.00,0,0.00,28,28.00,32.00,45.00,45.00,45.00,45.00,45.00,90.00,"1,204.22",158.66,0.00,69.68,29.53,307.04,0.00,0.00,,,"1,769.13",,,,,,,0.00,19029578,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25CON032783509,ACTIVA,NORMAL,ES0022000004977012SY,31/05/2025,30/06/2025,12/07/2025,,,,,503.34,"Avda. Vigo, 34 (Edif. Oriente)",Pontevedra,Pontevedra,PONTEVEDRA,3602 - Pontevedra ,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,50274978,10246,10246,0.00,13249,13249,0.00,9834,10570,736.00,8259,8793,534.00,3494,3494,0.00,25764,26245,481.00,"1,751.00",3229,3229,0.00,3975,3975,0.00,3196,3196,0.00,2312,2312,0.00,719,719,0.00,12509,12509,0.00,0.00,0,0.00,0,0.00,8,8.82,8,8.40,0,0.00,4,4.38,8.82,25.00,52.80,52.80,52.80,52.80,52.80,340.94,135.35,0.00,24.35,2.70,105.70,0.00,0.00,,,609.04,,,,,,,0.00,19068858,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25CON031775779,ACTIVA,NORMAL,ES0031405650791001PZ,31/05/2025,30/06/2025,07/07/2025,,,,,896.78,"Av. de Catalunya, 43-45",Tarragona,Tarragona,TARRAGONA,4301 - Tarragona ,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,502404516,1746,1746,0.00,3390,3390,0.00,1524,3075,"1,551.00",2652,3749,"1,097.00",1705,1705,0.00,1453,1772,319.00,"2,967.00",77,77,0.00,84,84,0.00,30,39,0.00,9,17,0.00,7,7,0.00,87,105,0.00,0.00,0,0.00,0,0.00,24,24.00,28,28.00,0,0.00,32,32.00,32.00,60.00,60.00,60.00,60.00,60.00,60.00,601.44,204.86,0.00,41.22,49.26,188.32,0.00,0.00,,,"1,085.10",,,,,,,0.00,19029622,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25COY000243536,ACTIVA,RECTIFICATIVA,ES0021000006251095CZ,31/05/2025,30/06/2025,07/07/2025,,,,,"3,743.04","Avda. Don Juan de Borbón, 16",Murcia,Murcia,MURCIA,3001 - Murcia ,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,49511832,107602,107602,0.00,125697,125697,0.00,99611,107094,"7,483.00",92144,97783,"5,639.00",34101,34101,0.00,82181,84839,"2,658.00","15,780.00",47804,47804,0.00,47793,47793,0.00,40931,44872,"3,941.00",37089,40113,"3,024.00",10078,10078,0.00,4686,5152,466.00,"7,431.00",0,0.00,0,0.00,73,73.82,75,75.70,0,0.00,61,61.98,75.70,61.00,109.00,109.00,109.00,109.00,109.00,"3,151.27",294.58,109.48,181.77,5.94,786.04,0.00,0.00,,P25CON031461032,"4,529.08",,,,,,,0.00,19642856,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,0.00
P25CON032783514,ACTIVA,NORMAL,ES0022000008321011TN,31/05/2025,30/06/2025,12/07/2025,,,,,"1,747.88","Avda. do Regato, 1-3 (prolongación Ntra. Sra. de la Sainza-Rotonda C/. Zamora)",Ourense,Ourense,OURENSE,3201 - Ourense ,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,50271216,34077,34077,0.00,37938,37938,0.00,31999,34809,"2,810.00",30593,32456,"1,863.00",9776,9776,0.00,67323,70114,"2,791.00","7,464.00",16364,16364,0.00,16115,16115,0.00,16499,18543,"2,044.00",13962,15383,"1,421.00",2614,2614,0.00,32345,34541,"2,196.00","5,661.00",0,0.00,0,0.00,40,40.16,39,39.70,0,0.00,29,29.35,40.16,27.00,66.00,66.00,66.00,66.00,66.00,"1,418.91",162.32,79.90,84.93,1.82,367.05,0.00,0.00,,,"2,114.93",,,,,,,0.00,19068867,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25CON031461032,ANULADA,NORMAL,ES0021000006251095CZ,31/05/2025,30/06/2025,04/07/2025,,,,,"3,743.04","Avda. Don Juan de Borbón, 16",Murcia,Murcia,MURCIA,3001 - Murcia ,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,49511832,107602,107602,0.00,125697,125697,0.00,99611,107094,"7,483.00",92144,97783,"5,639.00",34101,34101,0.00,82181,84839,"2,658.00","15,780.00",47804,47804,0.00,47793,47793,0.00,40931,44872,"3,941.00",37089,40113,"3,024.00",10078,10078,0.00,4686,5152,466.00,"7,431.00",0,0.00,0,0.00,73,73.82,75,75.70,0,0.00,61,61.98,75.70,61.00,109.00,109.00,109.00,109.00,109.00,"3,151.27",294.58,109.48,181.77,5.94,786.03,0.00,0.00,,,"4,529.07",,,,,,,0.00,19645782,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,0.00
N25CON003015589,ACTIVA,NORMAL,ES0031607113036005YY,31/05/2025,30/06/2025,07/07/2025,,,,,825.95,"Avda. de la Constitución,  2 bajos, locales 1 y 2",Santiago del Teide,Santa Cruz de Tenerife,TELDE,3506 - Telde,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,13015465,32165,32165,0.00,31966,31966,0.00,25026,25026,0.00,27314,28707,"1,393.00",12745,13631,886.00,71072,72614,"1,542.00","3,821.00",19399,19399,0.00,15078,15078,0.00,15464,15464,0.00,14236,14858,622.00,7598,8032,434.00,47727,48626,899.00,"1,955.00",0,0.00,0,0.00,0,0.00,14,14.00,12,12.00,8,8.00,14.00,16.00,17.00,17.00,17.00,17.00,45.00,703.47,59.54,12.63,39.66,10.65,25.21,0.00,0.00,,,851.16,,,,,,,0.00,19029569,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25CON031461053,ACTIVA,NORMAL,ES0031300072350021BB,31/05/2025,30/06/2025,04/07/2025,,,,,515.00,"Avda. Galán Bergua, 31 bajos",Alcañiz,Teruel,ALCAÑIZ,4403 - Alcañiz,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,37772626,18112,18112,0.00,18354,18354,0.00,14698,15623,925.00,14156,14733,577.00,5072,5072,0.00,26465,26983,518.00,"2,020.00",0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0,0.00,0,0.00,16,16.00,12,12.00,0,0.00,8,8.00,16.00,11.00,14.00,14.00,14.00,14.00,55.42,395.52,47.57,0.00,22.65,49.26,108.15,0.00,0.00,,,623.15,,,,,,,0.00,19014371,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25CON031356851,ACTIVA,NORMAL,ES0021000012871178MF,31/05/2025,30/06/2025,03/07/2025,,,,,"1,236.02","Camino del Molino, 21",Collado Villalba,Madrid,COLLADO VILLALBA,2826 - Collado Villalba ,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,47543370,61919,61919,0.00,102819,102819,0.00,56267,58622,"2,355.00",40022,41919,"1,897.00",19674,19674,0.00,60104,60959,855.00,"5,107.00",21665,21665,0.00,34372,34372,0.00,19678,20481,803.00,12115,12835,720.00,5878,5878,0.00,20037,20193,156.00,"1,679.00",0,0.00,0,0.00,37,37.20,32,32.70,0,0.00,12,12.20,37.20,43.00,43.00,43.00,43.00,43.00,43.00,"1,019.54",146.80,3.91,59.83,5.94,259.56,0.00,0.00,,,"1,495.58",,,,,,,0.00,19642843,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,0.00
P25CON031356879,ACTIVA,NORMAL,ES0021000008769780WS,31/05/2025,30/06/2025,03/07/2025,,,,,"2,762.69","Avda. Baleares, 16",València,Valencia/València,VALENCIA-BALEARES,4601 - Valencia-Baleares ,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,49889984,119033,119033,0.00,160462,160462,0.00,110324,116256,"5,932.00",91816,95462,"3,646.00",30048,30048,0.00,98667,100678,"2,011.00","11,589.00",22082,22082,0.00,22255,22255,0.00,22555,23477,922.00,15552,16082,530.00,5344,5344,0.00,22762,23243,481.00,"1,933.00",0,0.00,0,0.00,74,74.96,75,75.67,0,0.00,84,84.82,84.82,90.00,90.00,90.00,90.00,90.00,90.00,"2,315.40",307.26,0.00,134.09,5.94,580.16,0.00,0.00,,,"3,342.85",,,,,,,0.00,19014346,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25CON032783511,ACTIVA,NORMAL,ES0031405151382002EC,31/05/2025,30/06/2025,12/07/2025,,,,,"1,164.06","Montpalau, 4-6",Pineda de Mar,Barcelona,PINEDA DE MAR,0812 - Pineda De Mar,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,85125035,155704,155704,0.00,374870,374870,0.00,141725,143865,"2,140.00",54950,56462,"1,512.00",68789,68789,0.00,75212,76322,"1,110.00","4,762.00",18204,18204,0.00,36591,36591,0.00,9789,10116,290.00,3201,3393,162.00,1228,1228,0.00,1556,1605,0.00,452.00,0,0.00,0,0.00,23,23.00,21,21.00,0,0.00,16,16.00,23.00,45.00,45.00,45.00,50.00,50.00,50.00,936.82,156.67,0.00,55.91,14.66,244.45,0.00,0.00,,,"1,408.51",,,,,,,0.00,19068862,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25CON032783520,ACTIVA,NORMAL,ES0022000007425527MX,31/05/2025,30/06/2025,12/07/2025,,,,,611.55,"Seis de Junio, 49",Valdepeñas,Ciudad Real,VALDEPEÑAS,1303 - Valdepeñas,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,49440127,30778,30778,0.00,35189,35189,0.00,22343,23396,"1,053.00",17502,18559,"1,057.00",6433,6433,0.00,16595,16956,361.00,"2,471.00",0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0,0.00,0,0.00,24,24.60,24,24.76,0,0.00,23,23.03,24.76,20.00,27.00,27.00,27.00,27.00,66.00,494.84,85.23,0.00,29.66,1.82,128.43,0.00,0.00,,,739.98,,,,,,,0.00,19068879,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25CON031775763,ACTIVA,NORMAL,ES0031405422206002ZD,31/05/2025,30/06/2025,07/07/2025,,,,,"1,508.89",Vía Augusta 18 PB,Barcelona,Barcelona,BARCELONA-VIA AUGUSTA C.A.,0801 - Barcelona-Via Augusta C.A. ,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,300038786,52461,52461,0.00,96546,96546,0.00,68159,70316,"2,157.00",50613,52337,"1,724.00",39536,39536,0.00,185202,188739,"3,537.00","7,418.00",709,709,0.00,1784,1784,0.00,1320,1325,5.00,518,524,6.00,721,721,0.00,1252,1259,7.00,18.00,0,0.00,0,0.00,17,17.00,18,18.00,0,0.00,17,17.00,18.00,13.00,14.00,16.00,19.00,19.00,40.00,"1,372.26",52.26,0.00,72.87,10.65,316.87,0.00,0.00,,,"1,825.76",,,,,,,0.85,19029606,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25CON031775756,ACTIVA,NORMAL,ES0031405575380002BN,31/05/2025,30/06/2025,07/07/2025,,,,,760.44,VIDAL DE MONTPALAU 15 BAJO,Cervera,Lleida,CERVERA,2502 - Cervera,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,68535547,59786,59786,0.00,131082,131082,0.00,47333,48615,"1,282.00",24116,24767,651.00,20647,20647,0.00,68912,69317,405.00,"2,338.00",10871,10871,0.00,16182,16182,0.00,9349,9856,448.00,3379,3598,161.00,3240,3240,0.00,12807,12820,0.00,609.00,0,0.00,0,0.00,24,24.00,28,28.00,0,0.00,8,8.00,28.00,60.00,60.00,60.00,87.00,87.00,87.00,468.92,221.21,1.04,35.36,33.53,159.69,0.00,0.38,,,920.13,,,,,,,0.00,19029600,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25CON031356868,ACTIVA,NORMAL,ES0021000003155142DE,31/05/2025,30/06/2025,03/07/2025,,,,,333.48,Barrio Landeta,Azpeitia,Gipuzkoa,AZPEITIA,2002 - Azpeitia ,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,176319854,22622,22622,0.00,44762,44762,0.00,14788,15280,492.00,10278,10554,276.00,8023,8023,0.00,20739,21123,384.00,"1,152.00",7229,7229,0.00,13495,13495,0.00,1667,1752,85.00,1260,1300,40.00,763,763,0.00,691,698,7.00,132.00,0,0.00,0,0.00,13,13.43,11,11.26,0,0.00,6,6.31,13.43,26.40,26.40,26.40,26.40,26.40,26.40,221.48,90.13,0.00,15.93,5.94,70.03,0.00,0.00,,,403.51,,,,,,,0.00,19014336,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25CON031775776,ACTIVA,NORMAL,ES0031405422217008DK,31/05/2025,30/06/2025,07/07/2025,,,,,698.45,"Vía Augusta, 48 3-3",Barcelona,Barcelona,"VIA AUGUSTA, 48 3-3","8021 - Via Augusta, 48 ",ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,97660827,87249,87249,0.00,215353,215353,0.00,80167,81366,"1,199.00",28815,29830,"1,015.00",26501,26501,0.00,55140,55860,720.00,"2,934.00",5481,5481,0.00,12383,12383,0.00,882,884,0.00,55,55,0.00,31,31,0.00,101,101,0.00,0.00,0,0.00,0,0.00,20,20.00,24,24.00,0,0.00,20,20.00,24.00,14.00,19.00,19.00,19.00,19.00,63.00,574.68,61.70,0.00,32.54,29.53,146.67,0.00,0.00,,,845.12,,,,,,,0.00,19029619,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25CON032239644,ACTIVA,NORMAL,ES0031406277612001GJ,31/05/2025,30/06/2025,09/07/2025,,,,,872.41,"Jaume Casanovas, 190-192","Prat de Llobregat, El",Barcelona,PRAT DE LLOBREGAT,0815 - Prat De Llobregat ,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,13008198,37245,37245,0.00,42678,42678,0.00,29147,30654,"1,507.00",24937,25667,730.00,9464,9464,0.00,35887,37100,"1,213.00","3,450.00",16195,16195,0.00,16521,16521,0.00,12420,13002,553.02,8442,8681,196.22,2032,2032,0.00,4662,5105,321.77,"1,071.01",0,0.00,0,0.00,20,20.00,26,26.00,0,0.00,14,14.00,26.00,45.00,45.00,45.00,50.00,50.00,50.00,660.86,156.67,2.31,41.92,10.65,183.21,0.00,0.00,,,"1,055.62",,,,,,,0.00,19029630,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25CON031461028,ACTIVA,NORMAL,ES0031405787596001EW,31/05/2025,30/06/2025,04/07/2025,,,,,34.86,"AV PAU CLARIS 18, LOC-2,",Martorell,Barcelona,MARTORELL  SOS,0819 - Martorell  Sos ,ASEPEYO,G08215824,2.0TD,ENDESA,,SIN LECTURA,800523065,0,0,0.00,0,0,0.00,0,0,0.00,,,0.00,,,0.00,,,0.00,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,0.00,0,0.00,0,0.00,,0.00,,0.00,,0.00,,0.00,0.00,15.00,15.00,0.00,0.00,0.00,0.00,0.00,34.06,0.00,0.00,0.80,7.32,0.00,0.00,,,42.18,,,,,,,0.00,19014350,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25CON032434984,ACTIVA,NORMAL,ES0031405522809023XH,31/05/2025,30/06/2025,10/07/2025,,,,,78.94,"SANT JOAN BOSCO 38, SOS",Sant Boi de Llobregat,Barcelona,SANT BOI DE LLOBREGAT  SOS,0820 - Sant Boi De Llobregat  Sos ,ASEPEYO,G08215824,3.0TD,ENDESA,,SIN LECTURA,300109420,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,20.00,20.00,20.00,20.00,20.00,20.00,0.00,68.29,0.00,0.00,10.65,16.58,0.00,0.00,,,95.52,,,,,,,0.00,19029633,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25CON031775745,ACTIVA,NORMAL,ES0113000050680935BH,31/05/2025,30/06/2025,07/07/2025,,,,,118.30,"PALAUDARIES 34,",Granollers,Barcelona,GRANOLLERS SOS,0831 - Granollers Sos ,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,SAG0176450404,126,126,0.00,232,232,0.00,193,195,2.00,139,141,2.00,101,101,0.00,594,599,5.00,9.00,27,27,0.00,47,47,0.00,43,44,1.00,34,35,1.00,23,23,0.00,171,174,3.00,5.00,0,0.00,0,0.00,0,0.01,0,0.01,0,0.00,0,0.01,0.01,31.50,31.50,31.50,31.50,31.50,31.50,1.63,107.55,0.03,5.58,3.51,24.84,0.00,0.00,,,143.14,,,,,,,0.00,19029586,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
N25CON003015592,ACTIVA,NORMAL,ES0031601013502001MS,31/05/2025,30/06/2025,07/07/2025,,,,,"1,001.27","AV DE LAS PETROLIFERAS 0, DARS. EXT., LOC, CENTR. MEDIC","Palmas de Gran Canaria, Las","Palmas, Las",LAS PALMAS PUERTO DE LA LUZ,3504 - Las Palmas Puerto De La Luz ,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,68524914,62387,62387,0.00,96838,96838,0.00,30430,30430,0.00,24342,26068,"1,726.00",15221,16151,930.00,24979,25748,769.00,"3,425.00",46148,46148,0.00,62090,62090,0.00,15252,15252,0.00,13328,14820,"1,472.00",5916,6698,756.00,4725,5180,337.00,"2,565.00",0,0.00,0,0.00,0,0.00,20,20.00,24,24.00,20,20.00,24.00,54.00,54.00,54.00,54.00,54.00,54.00,655.87,184.36,84.24,47.27,29.53,31.22,0.00,0.00,,,"1,032.49",,,,,,,0.00,19029572,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25CON031775741,ACTIVA,NORMAL,ES0031300248200001WH,31/05/2025,30/06/2025,07/07/2025,,,,,186.20,"G INDUSTRIAL EL AGUILA 0, CONSULTORIO,",Utebo,Zaragoza,UTEBO,5004 - Utebo,ASEPEYO,G08215824,2.0TD,ENDESA,,REAL,302782119,50141,50458,317.06,8568,8760,192.23,8763,8949,185.86,,,0.00,,,0.00,,,0.00,695.15,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,0.00,5,5.23,4,4.16,,0.00,,0.00,,0.00,,0.00,5.23,7.00,7.00,0.00,0.00,0.00,0.00,160.49,15.89,0.00,9.02,0.80,39.10,0.00,0.00,,,225.30,,,,,,,0.00,19227471,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25CON031356861,ACTIVA,NORMAL,ES0021000006683398WD,31/05/2025,30/06/2025,03/07/2025,,,,,"1,539.87","Esquiroz, 41-43,  bjos. y 3º D",Pamplona/Iruña,Navarra,PAMPLONA,3101 - Pamplona ,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,49519588,90450,90450,0.00,137305,137305,0.00,67960,70925,"2,965.00",53638,55645,"2,007.00",30360,30360,0.00,108292,109374,"1,082.00","6,054.00",25587,25587,0.00,39441,39441,0.00,17621,19044,"1,423.00",14927,15866,939.00,6935,6935,0.00,14445,14619,174.00,"2,536.00",0,0.00,0,0.00,37,37.94,35,35.43,0,0.00,31,31.64,37.94,51.00,74.00,74.00,74.00,74.00,118.00,"1,207.10",220.39,29.97,74.52,7.89,323.37,0.00,0.00,,,"1,863.24",,,,,,,0.00,19642817,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,0.00
N25CON003117500,ACTIVA,NORMAL,ES0031607515645001CM,31/05/2025,30/06/2025,12/07/2025,,,,,819.54,"Avda. de la Salle, 19",Santa Cruz de Tenerife,Santa Cruz de Tenerife,TENERIFE - 2,3803 - Tenerife ,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,13017822,0,0,0.00,476,476,0.00,0,0,0.00,2611,4377,"1,766.00",1437,2535,"1,098.00",1079,1495,416.00,"3,280.00",0,0,0.00,384,384,0.00,0,0,0.00,2026,2966,857.00,1098,1747,559.00,329,434,0.00,"1,416.00",0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,31.00,32.00,32.00,32.00,32.00,50.00,640.35,109.63,19.57,39.34,10.65,25.02,0.00,0.00,,,844.56,,,,,,,0.00,19068854,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25CON031775761,ACTIVA,NORMAL,ES0031408559357001VK,31/05/2025,30/06/2025,07/07/2025,,,,,"4,841.75","Joan Torró i Cabratosa, 24",Girona,Girona,GIRONA,1701 - Girona ,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,68533616,254098,254098,0.00,479081,479081,0.00,246985,254430,"7,445.00",157236,163211,"5,975.00",130500,130500,0.00,369604,376147,"6,543.00","19,963.00",2197,2197,0.00,2422,2422,0.00,1583,1745,81.00,1419,1602,106.00,345,345,0.00,1567,1617,0.00,187.00,0,0.00,0,0.00,96,96.00,96,96.00,0,0.00,36,36.00,96.00,218.00,218.00,218.00,218.00,218.00,218.00,"3,833.85",744.30,0.00,234.07,29.53,"1,016.77",0.00,0.00,,,"5,858.52",,,,,,,0.00,19029604,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25CON031775755,ACTIVA,NORMAL,ES0021000008462392TE,31/05/2025,30/06/2025,07/07/2025,,,,,791.29,"Avda. Alacant, 60",Silla,Valencia/València,SILLA,4603 - Silla ,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,49890128,34884,34884,0.00,44158,44158,0.00,30770,32664,"1,894.00",22436,23231,795.00,6729,6729,0.00,21714,22118,404.00,"3,093.00",16567,16567,0.00,18849,18849,0.00,14396,15355,959.00,8174,8586,412.00,1399,1399,0.00,1697,1702,5.00,"1,376.00",0,0.00,0,0.00,28,28.62,25,25.44,0,0.00,9,9.46,28.62,27.00,30.00,30.00,30.00,30.00,59.40,626.19,100.86,20.10,38.20,5.94,166.17,0.00,0.00,,,957.46,,,,,,,0.00,19029599,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
